id,assist,chance_created,goals_score,goals_conceded,total_points,price
297,0,2,10,60,24,45
298,10,9,0,110,19,48
299,0,0,0,0,1,54
300,0,10,0,40,10,48
301,0,0,0,50,0,43
302,0,0,0,0,0,45
303,0,32,50,160,50,66
304,10,3,0,50,15,45
305,0,2,0,140,7,44
306,0,0,0,180,29,50
307,0,17,0,160,15,56
308,10,8,0,70,21,60
309,0,8,0,120,8,48
310,0,0,0,0,0,44
311,0,0,0,0,0,45
312,0,1,0,0,4,45
313,0,3,0,10,4,45
314,0,0,0,0,0,40
315,0,0,0,20,2,40
316,0,0,0,0,0,45
317,10,1,0,0,5,45
318,0,0,0,0,0,44
319,0,0,0,0,0,44
320,0,0,0,0,0,40
321,0,0,0,0,0,45
322,10,12,0,10,14,49
323,20,24,10,110,38,50
324,0,0,0,0,0,44
325,0,4,0,90,29,50
326,10,7,0,10,13,53
327,0,0,0,0,0,59
328,10,7,0,40,15,58
329,10,11,40,60,35,88
330,10,7,0,110,49,67
331,10,21,60,110,59,119
332,0,0,0,110,43,60
333,10,5,10,90,21,54
334,80,35,100,110,117,130
335,10,19,0,110,26,70
336,0,0,10,0,6,49
337,0,0,0,0,1,51
338,40,47,10,90,64,77
339,0,0,0,10,2,47
340,10,7,20,0,30,50
341,10,20,40,60,46,75
342,0,0,0,0,0,42
343,0,0,0,0,6,44
344,0,1,0,20,13,51
345,10,6,10,60,21,50
346,10,14,0,0,24,39
347,10,1,0,0,4,39
348,0,0,0,0,0,44
349,0,0,0,0,0,40
350,0,8,0,10,9,53
351,0,0,0,0,0,45
352,0,0,0,0,0,45
353,20,33,10,30,34,77
354,0,8,0,50,37,55
355,0,24,20,10,32,72
356,0,21,20,40,29,119
357,0,0,0,10,13,53
358,0,3,0,10,3,53
359,10,14,20,20,24,86
360,0,9,10,30,19,106
361,40,22,0,50,67,65
362,0,0,0,60,43,60
363,0,1,0,10,14,48
364,0,5,10,50,35,55
365,0,0,0,0,7,45
366,20,21,30,50,49,71
367,10,11,0,60,49,61
368,50,25,20,50,50,87
369,0,1,0,0,2,53
370,20,19,30,50,40,83
371,0,15,10,50,27,55
372,10,3,20,10,26,67
373,0,4,0,20,9,48
374,0,0,0,0,2,45
375,0,0,0,0,0,48
376,0,0,0,0,0,45
377,0,0,0,0,0,39
378,0,0,0,0,0,40
379,0,0,0,0,0,40
380,0,0,0,0,0,45
381,0,0,0,0,0,40
382,0,2,10,10,12,84
383,0,0,0,170,39,50
384,20,7,0,40,15,45
385,70,21,0,100,35,75
386,0,1,0,150,26,54
387,0,11,10,120,19,49
388,10,36,0,160,25,52
389,0,3,20,20,16,68
390,30,52,40,170,52,117
391,0,1,10,10,11,76
392,0,0,0,0,1,50
393,0,0,0,0,0,48
394,0,0,20,80,15,94
395,0,0,0,0,2,57
396,20,3,0,150,19,48
397,0,11,0,120,18,54
398,0,0,0,20,-2,49
399,0,14,0,170,26,52
400,10,19,40,140,46,74
401,0,0,0,0,0,48
402,0,12,0,30,12,89
403,0,0,0,0,0,40
404,0,3,0,10,2,44
405,0,0,0,0,0,50
406,0,0,0,0,0,48
407,10,3,0,40,26,55
408,10,11,40,150,38,124
409,0,4,0,140,15,58
410,0,3,0,50,1,53
411,10,37,0,240,12,49
412,10,5,0,190,14,44
413,0,0,0,120,19,45
414,0,0,0,0,0,44
415,0,4,40,140,32,73
416,0,0,10,20,7,48
417,10,2,0,30,12,53
418,0,3,0,170,6,44
419,0,0,0,0,3,53
420,0,0,0,0,0,45
421,20,4,10,130,20,40
422,10,1,0,90,10,43
423,20,4,10,110,22,49
424,0,1,0,40,0,43
425,0,3,10,190,24,45
426,30,24,20,240,45,68
427,0,13,0,190,17,52
428,0,7,10,180,22,45
429,10,9,0,130,16,58
430,0,0,0,10,1,43
431,0,0,0,0,0,45
432,0,1,0,110,5,43
433,0,0,0,120,9,45
434,0,0,0,0,0,40
435,0,0,0,0,0,45
436,0,0,0,0,0,45
437,0,6,0,130,9,44
438,0,5,0,130,4,40
439,0,0,0,0,0,40
440,0,0,0,260,32,45
441,0,8,30,240,37,58
442,0,0,0,0,0,50
443,0,2,0,70,8,44
444,0,3,0,210,20,49
445,0,5,0,250,18,44
446,0,0,0,0,0,49
447,0,0,0,0,0,44
448,0,0,0,0,0,54
449,0,5,0,30,8,52
450,0,0,0,0,0,44
451,0,4,0,120,6,53
452,0,13,0,260,17,43
453,0,0,0,0,0,43
454,0,0,0,0,1,48
455,0,2,0,0,8,49
456,0,0,0,0,0,50
457,0,0,10,60,13,39
458,0,0,0,0,0,40
459,10,14,0,210,20,52
460,0,1,0,200,13,44
461,0,4,0,80,16,44
462,10,15,0,160,19,49
463,0,0,0,30,0,40
464,0,9,0,130,16,54
465,0,5,0,30,5,48
466,0,1,0,130,13,45
467,10,9,10,130,24,45
468,0,2,0,50,7,58
469,0,0,0,0,0,44
470,0,0,0,120,47,46
471,0,14,0,100,22,45
472,20,25,0,60,29,59
473,0,3,0,60,9,44
474,0,6,0,0,4,58
475,0,25,20,100,29,63
476,0,11,0,60,24,48
477,0,1,0,70,35,44
478,0,0,0,0,0,45
479,20,12,10,60,26,68
480,0,1,0,20,4,47
481,0,0,0,0,0,45
482,0,0,0,0,0,45
483,10,3,0,60,15,45
484,0,8,0,70,8,53
485,0,5,0,120,32,45
486,0,5,0,60,18,49
487,10,15,10,120,48,45
488,0,9,10,60,27,55
489,0,2,20,30,21,50
490,0,0,0,0,1,54
491,20,11,20,100,36,59
492,0,0,0,0,0,40
493,0,0,0,0,2,45
494,0,0,0,0,0,45
495,0,2,0,160,46,54
496,0,0,0,0,0,50
497,0,0,0,0,0,60
498,10,12,10,160,27,122
499,0,0,0,0,0,49
500,20,28,40,130,58,103
501,0,1,0,0,2,47
502,0,4,0,130,36,45
503,0,16,0,110,19,64
504,0,2,10,100,20,64
505,0,2,0,60,6,44
506,10,11,10,160,36,49
507,0,0,0,0,2,44
508,0,0,0,40,21,45
509,0,0,0,0,0,43
510,20,5,0,20,17,59
511,20,18,0,130,41,50
512,0,4,0,60,14,43
513,0,7,0,40,9,59
514,0,5,0,100,19,45
515,0,0,0,30,1,43
516,0,7,10,100,16,58
517,0,0,0,0,0,43
518,0,1,0,10,5,57
519,0,1,0,90,13,49
520,0,0,0,0,0,45
521,0,7,0,130,14,49
522,0,0,0,0,0,45
523,0,0,0,0,0,40
524,0,13,0,150,16,45
525,0,0,0,120,23,41
526,0,8,0,110,7,42
527,0,0,0,20,1,48
528,10,2,0,160,13,44
529,0,1,0,10,2,54
530,10,8,0,80,13,48
531,10,4,0,80,8,43
532,0,0,0,0,0,54
533,0,0,0,40,3,43
534,0,0,0,0,0,50
535,0,1,0,180,12,44
536,0,0,0,0,0,45
537,0,0,0,70,8,43
538,0,5,0,100,7,43
539,0,4,0,50,7,52
540,0,0,0,0,0,55
541,0,0,0,0,0,50
542,0,0,0,0,0,45
543,0,0,0,0,2,49
