id,name,team,position,assist,chance_created,goals_score,goals_conceded,total_points,price,code
165,Olivier Giroud,Chelsea,Forwards,0,0,0,0,0,65,44346
166,Thiago Emiliano da Silva,Chelsea,Defenders,0,52,1,3,39,55,51090
167,Marcos Alonso,Chelsea,Defenders,1,177,1,2,39,56,82263
168,Jorge Luiz Frello Filho,Chelsea,Midfielders,1,123,1,3,33,58,85955
169,Ross Barkley,Chelsea,Midfielders,0,88,0,0,6,52,88894
170,Mateo Kovacic,Chelsea,Midfielders,5,189,1,2,46,52,91651
171,Michy Batshuayi,Chelsea,Forwards,0,0,0,0,0,55,94245
172,Antonio Rüdiger,Chelsea,Defenders,1,113,1,4,53,59,102380
173,Kepa Arrizabalaga,Chelsea,Goalkeepers,0,0,0,0,6,48,109745
174,N'Golo Kanté,Chelsea,Midfielders,0,78,1,3,16,49,116594
175,Hakim Ziyech,Chelsea,Midfielders,0,70,0,0,7,73,124183
176,Ruben Loftus-Cheek,Chelsea,Midfielders,3,47,0,2,19,54,126187
177,Andreas Christensen,Chelsea,Defenders,0,57,0,3,36,50,135363
178,Timo Werner,Chelsea,Forwards,1,35,1,2,18,86,165153
179,Benjamin Chilwell,Chelsea,Defenders,0,121,3,2,45,60,172850
180,Tammy Abraham,Chelsea,Forwards,0,0,0,0,0,65,173879
181,Christian Pulisic,Chelsea,Midfielders,0,4,1,0,9,79,176413
182,Mason Mount,Chelsea,Midfielders,3,180,3,1,42,75,184341
183,Ethan Ampadu,Chelsea,Defenders,0,0,0,0,0,45,199598
184,Callum Hudson-Odoi,Chelsea,Midfielders,1,142,1,2,21,53,209046
185,Kai Havertz,Chelsea,Midfielders,1,57,2,2,36,81,219847
186,Reece James,Chelsea,Defenders,3,214,4,2,63,59,225796
187,Edouard Mendy,Chelsea,Goalkeepers,0,0,0,4,53,62,228286
188,Malang Sarr,Chelsea,Defenders,0,3,0,0,8,49,204727
189,Trevoh Chalobah,Chelsea,Defenders,0,29,2,1,44,49,180736
190,Romelu Lukaku,Chelsea,Forwards,0,132,3,3,31,115,66749
191,Emerson Palmieri dos Santos,Chelsea,Defenders,0,0,0,0,1,45,109533
192,Saúl Ñíguez,Chelsea,Midfielders,0,3,0,0,2,51,89335
193,Marcus Bettinelli,Chelsea,Goalkeepers,0,0,0,0,0,40,122074
194,Conor Gallagher,Crystal Palace,Midfielders,4,273,4,11,62,58,232787
195,Vicente Guaita,Crystal Palace,Goalkeepers,0,0,0,14,43,45,40836
196,James Tomkins,Crystal Palace,Defenders,0,0,0,1,1,43,49413
197,James McArthur,Crystal Palace,Midfielders,2,157,0,12,33,45,50471
198,Christian Benteke,Crystal Palace,Forwards,1,120,2,8,30,63,54861
199,Cheikhou Kouyaté,Crystal Palace,Defenders,0,9,0,9,32,45,55037
200,Martin Kelly,Crystal Palace,Defenders,0,0,0,0,0,39,58786
201,Luka Milivojevic,Crystal Palace,Midfielders,0,47,0,4,10,54,66975
202,Jordan Ayew,Crystal Palace,Forwards,1,111,0,11,19,58,80146
203,Wilfried Zaha,Crystal Palace,Midfielders,1,196,4,11,48,70,82403
204,Jeffrey Schlupp,Crystal Palace,Midfielders,0,27,1,3,15,54,86417
205,Jack Butland,Crystal Palace,Goalkeepers,0,0,0,0,0,44,105666
206,Jairo Riedewald,Crystal Palace,Midfielders,0,27,0,5,3,48,173954
207,Jarosław Jach,Crystal Palace,Defenders,0,0,0,0,0,43,185478
208,Jean-Philippe Mateta,Crystal Palace,Forwards,0,1,0,2,2,53,231747
209,Eberechi Eze,Crystal Palace,Midfielders,0,0,0,0,0,59,232413
210,Nathan Ferguson,Crystal Palace,Defenders,0,0,0,0,0,45,232423
