id,assist,chance_created,goals_score,total_points,saves,clean_sheet
305,0,3,0,7,10,0
306,0,0,0,29,390,10
307,0,33,0,15,10,0
308,10,15,0,21,10,10
309,0,16,0,8,10,10
310,0,0,0,0,10,0
311,0,0,0,0,10,0
312,0,1,0,4,10,0
313,0,7,0,4,10,0
314,0,0,0,0,10,0
315,0,0,0,2,10,0
316,0,0,0,0,10,0
317,10,2,0,5,10,0
318,0,0,0,0,10,0
319,0,0,0,0,10,0
320,0,0,0,0,10,0
321,0,0,0,0,10,0
322,10,23,0,14,10,30
323,20,48,10,38,10,40
324,0,0,0,0,10,0
325,0,8,0,29,10,40
326,10,14,0,13,10,20
327,0,0,0,0,10,0
328,10,13,0,15,10,10
329,10,22,40,35,10,20
330,10,15,0,49,10,60
331,10,41,60,59,10,50
332,0,0,0,43,240,50
333,10,9,10,21,10,20
334,80,70,100,117,10,60
335,10,38,0,26,10,30
336,0,0,10,6,10,0
337,0,0,0,1,10,0
338,40,93,10,64,10,50
339,0,0,0,2,10,0
340,10,14,20,30,10,40
341,10,41,40,46,10,60
342,0,0,0,0,10,0
343,0,0,0,6,30,10
344,0,1,0,13,10,20
345,10,11,10,21,10,10
346,10,29,0,24,10,30
347,10,2,0,4,10,0
348,0,0,0,0,10,0
349,0,0,0,0,10,0
350,0,16,0,9,10,20
351,0,0,0,0,10,0
352,0,0,0,0,10,0
353,20,67,10,34,10,60
354,0,16,0,37,10,50
355,0,48,20,32,10,60
356,0,42,20,29,10,30
357,0,0,0,13,10,20
358,0,6,0,3,10,0
359,10,28,20,24,10,10
360,0,17,10,19,10,20
361,40,45,0,67,10,70
362,0,0,0,43,130,60
363,0,2,0,14,10,20
364,0,10,10,35,10,50
365,0,0,0,7,30,10
366,20,43,30,49,10,60
367,10,22,0,49,10,60
368,50,50,20,50,10,60
369,0,2,0,2,10,0
370,20,38,30,40,10,30
371,0,30,10,27,10,60
372,10,6,20,26,10,30
373,0,8,0,9,10,10
374,0,1,0,2,10,0
375,0,0,0,0,10,0
376,0,0,0,0,10,0
377,0,0,0,0,10,0
378,0,0,0,0,10,0
379,0,0,0,0,10,0
380,0,0,0,0,10,0
381,0,0,0,0,10,0
382,0,4,10,12,10,10
383,0,0,0,39,340,20
384,20,15,0,15,10,0
385,70,43,0,35,10,10
386,0,2,0,26,10,30
387,0,22,10,19,10,20
388,10,72,0,25,10,20
389,0,5,20,16,10,0
390,30,105,40,52,10,20
391,0,2,10,11,10,0
392,0,0,0,1,10,0
393,0,0,0,0,10,0
394,0,1,20,15,10,0
395,0,0,0,2,10,0
396,20,7,0,19,10,10
397,0,22,0,18,10,20
398,0,0,0,-2,10,0
399,0,28,0,26,10,20
400,10,37,40,46,10,10
401,0,0,0,0,10,0
402,0,24,0,12,10,10
403,0,0,0,0,10,0
404,0,6,0,2,10,0
405,0,0,0,0,10,0
406,0,0,0,0,10,0
407,10,5,0,26,10,20
408,10,22,40,38,10,10
409,0,8,0,15,10,0
410,0,5,0,1,10,0
411,10,73,0,12,10,0
412,10,10,0,14,10,0
413,0,0,0,19,240,0
414,0,0,0,0,10,0
415,0,8,40,32,10,10
416,0,0,10,7,10,0
417,10,4,0,12,10,0
418,0,6,0,6,10,0
419,0,0,0,3,10,0
420,0,0,0,0,10,0
421,20,9,10,20,10,0
422,10,3,0,10,10,0
423,20,8,10,22,10,0
424,0,2,0,0,10,0
425,0,6,10,24,10,0
426,30,48,20,45,10,0
427,0,26,0,17,10,0
428,0,13,10,22,10,0
429,10,17,0,16,10,0
430,0,0,0,1,10,0
431,0,0,0,0,10,0
432,0,3,0,5,10,0
433,0,0,0,9,110,0
434,0,0,0,0,10,0
435,0,0,0,0,10,0
436,0,0,0,0,10,0
437,0,11,0,9,10,0
438,0,11,0,4,10,0
439,0,0,0,0,10,0
440,0,0,0,32,410,20
441,0,15,30,37,10,20
442,0,0,0,0,10,0
443,0,4,0,8,10,0
444,0,7,0,20,10,20
445,0,9,0,18,10,20
446,0,0,0,0,10,0
447,0,0,0,0,10,0
448,0,0,0,0,10,0
449,0,11,0,8,10,10
450,0,0,0,0,10,0
451,0,8,0,6,10,0
452,0,26,0,17,10,20
453,0,0,0,0,10,0
454,0,0,0,1,10,0
455,0,3,0,8,10,0
456,0,0,0,0,10,0
457,0,0,10,13,10,0
458,0,0,0,0,10,0
459,10,28,0,20,10,0
460,0,3,0,13,10,20
461,0,8,0,16,10,20
462,10,31,0,19,10,20
463,0,1,0,0,10,0
464,0,18,0,16,10,20
465,0,9,0,5,10,0
466,0,2,0,13,10,20
467,10,19,10,24,10,20
468,0,3,0,7,10,0
469,0,0,0,0,10,0
470,0,0,0,47,290,50
471,0,28,0,22,10,40
472,20,50,0,29,10,40
473,0,5,0,9,10,10
474,0,12,0,4,10,0
475,0,51,20,29,10,40
476,0,21,0,24,10,30
477,0,3,0,35,10,40
478,0,0,0,0,10,0
479,20,23,10,26,10,30
480,0,1,0,4,10,0
481,0,0,0,0,10,0
482,0,0,0,0,10,0
483,10,6,0,15,10,10
484,0,15,0,8,10,10
485,0,11,0,32,10,40
486,0,9,0,18,10,20
487,10,30,10,48,10,50
488,0,19,10,27,10,50
489,0,3,20,21,10,10
490,0,0,0,1,10,0
491,20,21,20,36,10,40
492,0,0,0,0,10,0
493,0,0,0,2,10,0
494,0,0,0,0,10,0
495,0,5,0,46,320,40
496,0,0,0,0,10,0
497,0,0,0,0,10,0
498,10,23,10,27,10,20
499,0,0,0,0,10,0
500,20,57,40,58,10,40
501,0,1,0,2,10,0
502,0,8,0,36,10,40
503,0,32,0,19,10,30
504,0,4,10,20,10,30
505,0,3,0,6,10,10
506,10,22,10,36,10,40
507,0,0,0,2,10,0
508,0,1,0,21,10,30
509,0,0,0,0,10,0
510,20,10,0,17,10,30
511,20,35,0,41,10,40
512,0,7,0,14,10,30
513,0,15,0,9,10,0
514,0,10,0,19,10,40
515,0,0,0,1,10,0
516,0,13,10,16,10,0
517,0,0,0,0,10,0
518,0,1,0,5,10,0
519,0,1,0,13,10,10
520,0,0,0,0,10,0
521,0,15,0,14,10,10
522,0,0,0,0,10,0
523,0,0,0,0,10,0
524,0,26,0,16,10,0
525,0,0,0,23,230,0
526,0,16,0,7,10,0
527,0,0,0,1,10,0
528,10,4,0,13,10,0
529,0,2,0,2,10,0
530,10,17,0,13,10,0
531,10,8,0,8,10,0
532,0,0,0,0,10,0
533,0,0,0,3,10,0
534,0,0,0,0,10,0
535,0,3,0,12,10,0
536,0,0,0,0,10,0
537,0,0,0,8,130,0
538,0,11,0,7,10,0
539,0,9,0,7,10,0
540,0,0,0,0,10,0
541,0,0,0,0,10,0
