id,price,goals_conceded,price_fall,yellow_card,min_per_goal,min_per_assist
609.0,39.0,20.0,60.0,40.0,20.0,20.0
610.0,40.0,0.0,50.0,20.0,0.0,0.0
611.0,57.0,0.0,80.0,20.0,7.2,7.2
612.0,45.0,0.0,50.0,20.0,0.0,0.0
613.0,44.0,0.0,60.0,20.0,0.0,0.0
614.0,58.0,70.0,70.0,20.0,123.8,123.8
615.0,43.0,30.0,70.0,40.0,53.6,26.8
616.0,50.0,120.0,50.0,40.0,198.0,99.0
617.0,50.0,0.0,50.0,20.0,0.0,0.0
618.0,45.0,0.0,50.0,20.0,0.0,0.0
619.0,45.0,0.0,50.0,20.0,0.0,0.0
620.0,40.0,0.0,50.0,20.0,0.0,0.0
621.0,58.0,70.0,20.0,20.0,24.2,121.0
622.0,40.0,0.0,50.0,20.0,0.0,0.0
623.0,40.0,0.0,50.0,20.0,0.0,0.0
